dataset,method,latent_dim,train_limit,test_limit,epochs,batch_size,learning_rate,parameter_count,compression_ratio,device,train_seconds,explained_variance_ratio,mse,rmse,mae,psnr,ssim,mse_255,rmse_255,mae_255
fashion,dae,8,10000,2000,5,256,0.001,470552,98.0,mps,4.559717750002164,,,,,,,,,
fashion,vae,8,10000,2000,5,256,0.001,638400,98.0,mps,4.6435810000039055,,,,,,,,,
fashion,dae,16,10000,2000,5,256,0.001,472608,49.0,mps,4.677538916999765,,0.0349145792424678,0.1868544332962637,0.1118430122733116,14.569931872983329,0.783610586643219,2270.320515241474,47.64788049054726,28.519968129694465
fashion,vae,16,10000,2000,5,256,0.001,648016,49.0,mps,4.787747082998976,,,,,,,,,
fashion,dae,32,10000,2000,5,256,0.001,476720,24.5,mps,4.8442292920008185,,0.0344130843877792,0.185507639701925,0.111372634768486,14.632764005391763,0.7886085209846496,2237.710812315345,47.30444812399089,28.400021865963936
fashion,vae,32,10000,2000,5,256,0.001,667248,24.5,mps,4.9431526660046075,,0.0293316654860973,0.1712648985814003,0.1064839959144592,15.32663276573279,0.8186281728744507,1907.2915482334793,43.67254913825708,27.153418958187103
fashion,dae,64,10000,2000,5,256,0.001,484944,12.25,mps,5.498406041995622,,0.0357805490493774,0.1891574715663577,0.1152368336915969,14.463529995068958,0.7831794257164002,2326.630201935768,48.235155249421226,29.38539259135723
fashion,vae,64,10000,2000,5,256,0.001,705712,12.25,mps,4.954717500004335,,0.0331832468509674,0.1821626933567008,0.1135038435459137,14.790811222154982,0.8064994735717773,2157.7406264841557,46.4514868059587,28.943480104207993
mnist,dae,8,10000,2000,5,256,0.001,470552,98.0,mps,3.9701002079964383,,,,,,,,,
mnist,vae,8,10000,2000,5,256,0.001,638400,98.0,mps,5.788730457999918,,0.0343558117747306,0.1853532081587224,0.0896702632308006,14.639997852944902,0.7564755325317383,2233.9866606518626,47.265068080474215,22.86591712385416
mnist,dae,16,10000,2000,5,256,0.001,472608,49.0,mps,4.015369125001598,,,,,,,,,
mnist,vae,16,10000,2000,5,256,0.001,648016,49.0,mps,4.178987708000932,,0.0328180640935897,0.1811575670337559,0.0878195762634277,14.838870411460752,0.7701655445098877,2133.9946176856756,46.19517959360777,22.393991947174072
mnist,dae,32,10000,2000,5,256,0.001,476720,24.5,mps,4.264399915999093,,0.0688909813761711,0.2624709152957163,0.1671428382396698,11.61837628526702,0.5153661241531372,4479.636063985527,66.93008340040767,42.6214237511158
mnist,vae,32,10000,2000,5,256,0.001,667248,24.5,mps,4.3179069999969215,,0.033039815723896,0.181768577383155,0.0905813127756118,14.809623835767848,0.7716442103385925,2148.414017446339,46.35098723270454,23.09823475778103
mnist,dae,64,10000,2000,5,256,0.001,484944,12.25,mps,4.44816400000127,,0.0701871886849403,0.264928648290328,0.178797647356987,11.537421527020344,0.4753536639213562,4563.9219442382455,67.55680531403365,45.593400076031685
mnist,vae,64,10000,2000,5,256,0.001,705712,12.25,mps,4.657244417001493,,,,,,,,,
