,,mse,psnr,ssim
method,,pca,pca,pca
dataset,latent_dim,,,
fashion,2,0.04564465954899788,13.4061002785755,0.6896084845542908
fashion,8,0.02595062181353569,15.85852231381924,0.8239688725471497
fashion,16,0.01982216350734234,17.02848945813318,0.8657753810882568
fashion,32,0.014494946226477623,18.387833914567835,0.9026230260848999
fashion,64,0.009839741513133049,20.07016310196144,0.9347495393753051
mnist,2,0.05547374114394188,12.559125443540477,0.569627663898468
mnist,8,0.036411695182323456,14.38759101588133,0.7339834199905395
mnist,16,0.02537977509200573,15.955122308123793,0.8234838405609131
mnist,32,0.015206990763545036,18.179567178395782,0.8971659523010254
mnist,64,0.007752858567982912,21.105381386030245,0.9485821368217469
