dataset,latent_dim,epochs,batch_size,learning_rate,seed,device,model_parameters,sample_count,source,final_train_loss,test_mse,test_psnr,test_ssim
mnist,2,10,256,0.001,42,mps,469010,10,trained,0.04030117119880433,0.04051805241033435,13.923514381333948,0.7146218657493592
mnist,8,10,256,0.001,42,mps,470552,10,trained,0.020080418258588365,0.019824356446042656,17.028009021929048,0.8754331544041634
mnist,16,10,256,0.001,42,mps,472608,10,trained,0.013730045443678156,0.013315183320082724,18.756528499270836,0.9189563438296318
mnist,32,10,256,0.001,42,mps,476720,10,trained,0.012000517131007733,0.011398359597660602,19.431576459394634,0.9321262896060943
mnist,64,10,256,0.001,42,mps,484944,10,trained,0.01216369472206273,0.011496558785438538,19.39432135658903,0.931069801747799
fashion_mnist,2,10,256,0.001,42,mps,469010,10,trained,0.027904531692570827,0.028117939177900553,15.510165128294366,0.8159257009625435
fashion_mnist,8,10,256,0.001,42,mps,470552,10,trained,0.015526182731573886,0.015700127207674087,18.04096828777575,0.8926991775631905
fashion_mnist,16,10,256,0.001,42,mps,472608,10,trained,0.014456382996224343,0.014469595788978041,18.3954360081381,0.9004346325993537
fashion_mnist,32,10,256,0.001,42,mps,476720,10,trained,0.013991818834651023,0.014045147923752666,18.524736824409562,0.9031032726168633
fashion_mnist,64,10,256,0.001,42,mps,484944,10,trained,0.0137813339326927,0.01387355113402009,18.578123608074904,0.9040853083133698
